Price,Close,High,Low,Open,Volume
Ticker,BTC=F,BTC=F,BTC=F,BTC=F,BTC=F
Date,,,,,
2021-04-26,54070.0,54410.0,47440.0,47440.0,8341
2021-04-27,54790.0,55420.0,52925.0,53370.0,5136
2021-04-28,55410.0,56500.0,53905.0,55265.0,6400
2021-04-29,52900.0,55205.0,52335.0,54725.0,5604
2021-04-30,56127.48828125,56565.0,53125.0,53255.0,6071
2021-05-03,57765.0,59305.0,56380.0,56985.0,5621
2021-05-04,54515.0,57755.0,53220.0,57390.0,8065
2021-05-05,57295.0,58110.0,52830.0,54365.0,6056
2021-05-06,56180.0,58600.0,55255.0,56950.0,5933
2021-05-07,57760.0,58845.0,55340.0,56350.0,4969
2021-05-10,55705.0,59900.0,53595.0,58200.0,7951
2021-05-11,56805.0,57075.0,54375.0,55690.0,5353
2021-05-12,54445.0,58140.0,53355.0,56735.0,8665
2021-05-13,48365.0,54605.0,46395.0,54545.0,14808
2021-05-14,50190.0,51475.0,48370.0,49215.0,5432
2021-05-17,44060.0,46620.0,42050.0,45295.0,11148
2021-05-18,43150.0,45755.0,42280.0,43500.0,8310
2021-05-19,39340.0,43530.0,30205.0,42915.0,26734
2021-05-20,40320.0,42420.0,34950.0,38925.0,13391
2021-05-21,36085.0,42370.0,35135.0,40720.0,12908
2021-05-24,39750.0,39950.0,33720.0,34280.0,10870
2021-05-25,37330.0,39885.0,36555.0,38540.0,8766
2021-05-26,38545.0,40895.0,37875.0,38055.0,9284
2021-05-27,38845.0,40435.0,37270.0,39025.0,6239
2021-05-28,36841.3515625,39180.0,35160.0,38800.0,8101
2021-06-01,35990.0,37985.0,34250.0,35905.0,8098
2021-06-02,38040.0,38340.0,35940.0,36205.0,4028
2021-06-03,38715.0,39560.0,37255.0,37835.0,4312
2021-06-04,36955.0,39330.0,35590.0,38840.0,8164
2021-06-07,35645.0,37015.0,34000.0,36205.0,6680
2021-06-08,32910.0,34295.0,30915.0,34130.0,11212
2021-06-09,36375.0,36945.0,32420.0,33485.0,8450
2021-06-10,36690.0,38460.0,35815.0,36610.0,6676
2021-06-11,37325.0,37700.0,35955.0,36725.0,3333
2021-06-14,39710.0,41070.0,38705.0,38900.0,5935
2021-06-15,39995.0,41335.0,39565.0,40250.0,4180
2021-06-16,38565.0,40480.0,38270.0,40025.0,6334
2021-06-17,37665.0,39535.0,37315.0,38550.0,5646
2021-06-18,35285.0,38175.0,35100.0,37695.0,5719
2021-06-21,32560.0,35790.0,31715.0,35555.0,9302
2021-06-22,32480.0,33310.0,28800.0,31700.0,14889
2021-06-23,32900.0,34835.0,31780.0,32560.0,7184
2021-06-24,34805.0,35245.0,32330.0,33220.0,6210
2021-06-25,33079.3984375,35300.0,32630.0,34700.0,6633
2021-06-28,34525.0,35325.0,32750.0,32775.0,5519
2021-06-29,36430.0,36650.0,34200.0,34680.0,4838
2021-06-30,34725.0,36215.0,34020.0,36215.0,3880
